1/1/2018;0;29;10
1/2/2018;0;16;1
1/3/2018;0;32;1
1/4/2018;0;34;15
1/5/2018;0;19;2
1/6/2018;0;21;2
1/7/2018;0;24;2
1/8/2018;0;41;3
1/9/2018;0;43;29
1/10/2018;0;56;30
1/11/2018;0.02;56;37
1/12/2018;0.92;58;43
1/13/2018;0.39;57;21
1/14/2018;0;21;8
1/15/2018;0;31;9
1/16/2018;0;41;17
1/17/2018;0.2;44;14
1/18/2018;0;17;0
1/19/2018;0;38;0
1/20/2018;0;51;10
1/21/2018;0;56;18
1/22/2018;0;61;26
1/23/2018;0.42;57;30
1/24/2018;0;51;21
1/25/2018;0;45;18
1/26/2018;0;48;19
1/27/2018;0;52;22
1/28/2018;0.13;54;46
1/29/2018;0.32;52;38
1/30/2018;0.06;44;21
1/31/2018;0;31;15
